date,time,age,confirmed,deceased
6.04.2020,0,50,1906,13
6.04.2020,0,60,1294,26
6.04.2020,0,70,686,52
6.04.2020,0,80,465,92
7.04.2020,0,0,126,0
7.04.2020,0,10,544,0
7.04.2020,0,20,2819,0
7.04.2020,0,30,1092,1
7.04.2020,0,40,1382,2
7.04.2020,0,50,1909,13
7.04.2020,0,60,1304,26
7.04.2020,0,70,689,57
7.04.2020,0,80,466,93
8.04.2020,0,0,126,0
8.04.2020,0,10,548,0
8.04.2020,0,20,2832,0
8.04.2020,0,30,1102,1
8.04.2020,0,40,1387,3
8.04.2020,0,50,1915,13
8.04.2020,0,60,1312,27
8.04.2020,0,70,692,60
8.04.2020,0,80,470,96
9.04.2020,0,0,128,0
9.04.2020,0,10,552,0
9.04.2020,0,20,2844,0
9.04.2020,0,30,1109,1
9.04.2020,0,40,1394,3
9.04.2020,0,50,1917,13
9.04.2020,0,60,1314,27
9.04.2020,0,70,692,60
9.04.2020,0,80,473,100
10.04.2020,0,0,129,0
10.04.2020,0,10,553,0
10.04.2020,0,20,2851,0
10.04.2020,0,30,1113,1
10.04.2020,0,40,1396,3
10.04.2020,0,50,1920,13
10.04.2020,0,60,1320,28
10.04.2020,0,70,694,62
10.04.2020,0,80,474,101
11.04.2020,0,0,130,0
11.04.2020,0,10,558,0
11.04.2020,0,20,2856,0
11.04.2020,0,30,1115,1
11.04.2020,0,40,1399,3
11.04.2020,0,50,1926,14
11.04.2020,0,60,1327,29
11.04.2020,0,70,694,63
11.04.2020,0,80,475,101
12.04.2020,0,0,130,0
12.04.2020,0,10,561,0
12.04.2020,0,20,2869,0
12.04.2020,0,30,1120,1
12.04.2020,0,40,1400,3
12.04.2020,0,50,1930,14
12.04.2020,0,60,1330,31
12.04.2020,0,70,697,63
12.04.2020,0,80,475,102
13.04.2020,0,0,132,0
13.04.2020,0,10,562,0
13.04.2020,0,20,2879,0
13.04.2020,0,30,1122,1
13.04.2020,0,40,1401,3
13.04.2020,0,50,1932,14
13.04.2020,0,60,1335,32
13.04.2020,0,70,698,64
13.04.2020,0,80,476,103
